Edad,Hombres ,Mujeres
0,29635,28471
1,30925,29645
2,33181,31618
3,33178,31884
4,32571,31571
5,32030,30815
6,31312,30977
7,31419,30170
8,32653,31688
9,32241,31627
10,34033,32356
11,29946,28712
12,30962,29760
13,30040,28646
14,30014,29471
15,31291,30380
16,30051,29192
17,31196,30727
18,31863,30630
19,27646,28084
20,30060,30223
21,26992,27206
22,28982,28928
23,28195,28826
24,27294,27601
25,27554,28603
26,25491,27382
27,25791,26869
28,27049,27886
29,24441,25344
30,30454,31567
31,21006,22789
32,26561,28534
33,25686,26822
34,24444,25656
35,27285,28445
36,25416,27158
37,24340,25534
38,26343,27210
39,22878,24032
40,27667,28907
41,17997,18776
42,24890,25574
43,19563,20935
44,17585,18711
45,21388,21623
46,17344,18380
47,16894,17522
48,17821,18532
49,16210,17163
50,19764,20973
51,12010,12840
52,15511,16028
53,13435,14450
54,13215,14271
55,13663,14150
56,12056,12248
57,9798,10408
58,9993,10787
59,9553,10174
60,11935,13147
61,6497,7415
62,8903,9929
63,8602,9537
64,7802,8882
65,8038,9099
66,6377,6934
67,6089,6736
68,6164,7073
69,5526,6225
70,7300,8150
71,3862,4313
72,5365,6074
73,4928,5601
74,4531,5217
75,4784,5186
76,3611,4217
77,3092,3582
78,3262,3510
79,2459,2858
80,3353,3964
81,1680,1951
82,1935,2447
83,1731,2238
84,1683,2124
85,1579,2111
86,1361,1643
87,1091,1302
88,801,1045
89,642,890
90,629,983
91,237,345
92,342,438
93,239,288
94,194,281
95,176,241
96,132,243
97,103,149
98,105,153
99,76,94
100,175,247
