0,Hombres,Mujeres
1,25096,24279
2,25788,24932
3,27757,27354
4,28794,28747
5,29965,29063
6,30046,29441
7,29052,28094
8,29714,28646
9,31066,29912
10,29679,29165
11,33118,31629
12,30280,29277
13,32700,30724
14,30117,29218
15,29905,29376
16,30308,29510
17,28754,28007
18,30247,28839
19,32146,31290
20,28023,28300
21,31527,31785
22,27440,26825
23,28537,28249
24,27606,27862
25,27238,27450
26,28890,29925
27,25856,27471
28,25434,26416
29,26919,27273
30,24207,25298
31,30978,31863
32,20500,22115
33,26869,28086
34,23640,25225
35,23504,24476
36,27664,28487
37,25314,27042
38,22365,23867
39,26647,27911
40,23474,24861
41,30710,31961
42,19170,20474
43,27561,28921
44,23198,24824
45,20197,22021
46,27801,28215
47,21702,23068
48,21943,23322
49,22843,24022
50,21397,22268
51,27060,28314
52,16499,17730
53,21864,22839
54,18824,20021
55,18462,20122
56,18632,20048
57,17712,18307
58,14413,15631
59,15713,16988
60,14838,15732
61,18370,20083
62,10562,11800
63,13799,15173
64,12658,13634
65,11495,12552
66,12714,13798
67,8937,10106
68,8690,9616
69,9737,10995
70,7520,8381
71,8857,10267
72,5632,6514
73,7492,8711
74,6328,7334
75,5700,6898
76,5963,7016
77,4858,5729
78,4223,5043
79,4728,5237
80,3832,4446
81,4338,5378
82,2468,3072
83,2909,3745
84,2671,3472
85,2421,3282
86,2235,2931
87,1883,2475
88,1381,1875
89,1127,1489
90,1050,1513
91,1003,1402
92,485,784
93,514,832
94,431,678
95,369,627
96,287,472
97,230,335
98,174,246
99,137,197
100,84,127
101,146,207
